rental_id,duration,bike_id,end_date,end_station_id,end_station_name,start_date,start_station_id,start_station_name,end_station_logical_terminal,start_station_logical_terminal,end_station_priority_id
47333122,60,5004,8/28/2015 19:49:00,727,"Chesilton Road, Fulham",8/28/2015 19:48:00,671,"Parsons Green Station, Parsons Green",,,
42467475,16560,915,4/10/2015 17:32:00,457,"Castlehaven Road, Camden Town",4/10/2015 12:56:00,65,"Gower Place , Euston",,,
61298490,2520,5469,12/25/2016 15:32:00,225,"Notting Hill Gate Station, Notting Hill",12/25/2016 14:50:00,349,"St. George Street, Mayfair",,,
48727555,3840,2320,10/13/2015 10:10:00,564,"Somerset House, Strand",10/13/2015 9:06:00,445,"Cheshire Street, Bethnal Green",,,
49534587,0,11789,11/11/2015 13:16:00,3,"Christopher Street, Liverpool Street",11/11/2015 13:16:00,3,"Christopher Street, Liverpool Street",,,
42447763,3480,11997,4/9/2015 19:27:00,566,"Westfield Ariel Way, White City",4/9/2015 18:29:00,307,"Black Lion Gate, Kensington Gardens",,,
53383192,2700,891,5/2/2016 1:31:00,470,"Mostyn Grove, Bow",5/2/2016 0:46:00,132,"Bethnal Green Road, Shoreditch",,,
40773667,3360,8608,1/24/2015 16:06:00,16,"Cartwright Gardens , Bloomsbury",1/24/2015 15:10:00,28,"Bolsover Street, Fitzrovia",,,
53373563,2820,1665,5/1/2016 17:59:00,18,"Drury Lane, Covent Garden",5/1/2016 17:12:00,181,"Belgrave Square, Belgravia",,,
62175521,4020,14571,2/5/2017 17:18:00,691,"Erin Close, Walham Green",2/5/2017 16:11:00,696,"Charing Cross Hospital, Hammersmith",,,
58620562,2580,1114,9/21/2016 17:37:00,553,"Regent's Row , Haggerston",9/21/2016 16:54:00,88,"Bayley Street , Bloomsbury",,,
65432585,2760,12988,5/27/2017 13:55:00,447,"Jubilee Crescent, Cubitt Town",5/27/2017 13:09:00,470,"Mostyn Grove, Bow",,,
62338509,2040,14768,2/13/2017 14:12:00,541,"Green Park Station, Mayfair",2/13/2017 13:38:00,303,"Albert Gate, Hyde Park",,,
53833854,5580,6480,5/14/2016 18:11:00,615,"Finlay Street, Fulham",5/14/2016 16:38:00,615,"Finlay Street, Fulham",,,
44841464,2220,6533,6/23/2015 18:45:00,74,"Vauxhall Cross, Vauxhall",6/23/2015 18:08:00,743,"Oxford Road, Putney",,,
54742155,60,6054,6/10/2016 9:30:00,98,"Hampstead Road, Euston",6/10/2016 9:29:00,239,"Warren Street Station, Euston",,,
51518292,60,13594,2/14/2016 17:48:00,218,"St. Luke's Church, Chelsea",2/14/2016 17:47:00,172,"Sumner Place, South Kensington",,,
65261030,2520,4748,5/23/2017 14:24:00,410,"Edgware Road Station, Marylebone",5/23/2017 13:42:00,410,"Edgware Road Station, Marylebone",,,
45628230,7860,7152,7/12/2015 16:51:00,766,"Ram Street, Wandsworth",7/12/2015 14:40:00,541,"Green Park Station, Mayfair",,,
59556806,3480,13322,10/19/2016 14:08:00,457,"Castlehaven Road, Camden Town",10/19/2016 13:10:00,695,"Islington Green, Angel",,,
64016246,2220,10854,4/12/2017 22:15:00,558,"Page Street, Westminster",4/12/2017 21:38:00,224,"Whiteley's, Bayswater",,,
56038440,8700,238,7/17/2016 19:11:00,234,"Liverpool Road (N1 Centre), Angel",7/17/2016 16:46:00,508,"Fournier Street, Whitechapel",,,
55760174,5280,1357,7/10/2016 6:58:00,784,"East Village, Queen Elizabeth Olympic Park",7/10/2016 5:30:00,784,"East Village, Queen Elizabeth Olympic Park",,,
47354844,3780,8587,8/29/2015 16:55:00,213,"Wellington Arch, Hyde Park",8/29/2015 15:52:00,278,"Tooley Street, Bermondsey",,,
64971071,2040,8284,5/14/2017 11:55:00,58,"New Inn Yard, Shoreditch",5/14/2017 11:21:00,797,"Ossulston Street, Somers Town",,,
53063580,8940,13430,4/20/2016 12:48:00,271,"London Zoo,  The Regent's Park",4/20/2016 10:19:00,350,"Queen's Gate, Kensington Gardens",,,
63907881,3540,12786,4/9/2017 20:06:00,790,"Stratford Station, Stratford",4/9/2017 19:07:00,779,"Houndsditch, Aldgate",,,
64971902,2640,12172,5/14/2017 12:25:00,350,"Queen's Gate, Kensington Gardens",5/14/2017 11:41:00,191,"Hyde Park Corner, Hyde Park",,,
65657322,2280,4157,6/2/2017 12:57:00,818,"One Tower Bridge, Bermondsey",6/2/2017 12:19:00,562,"Bury Place, Holborn",,,
42201455,2160,7420,3/30/2015 16:06:00,541,"Green Park Station, West End",3/30/2015 15:30:00,158,"Trebovir Road, Earl's Court",,,
49028769,3900,7882,10/23/2015 14:50:00,407,"Speakers' Corner 1, Hyde Park",10/23/2015 13:45:00,228,"St. James's Square, St. James's",,,
44506164,3840,10652,6/14/2015 9:15:00,520,"Bancroft Road, Bethnal Green",6/14/2015 8:11:00,520,"Bancroft Road, Bethnal Green",,,
62486079,4500,767,2/19/2017 10:54:00,448,"Fisherman's Walk West, Canary Wharf",2/19/2017 9:39:00,307,"Black Lion Gate, Kensington Gardens",,,
64840659,3000,11316,5/10/2017 13:18:00,122,"Norton Folgate, Liverpool Street",5/10/2017 12:28:00,175,"Appold Street, Liverpool Street",,,
44542980,4080,9160,6/15/2015 13:27:00,406,"Speakers' Corner 2, Hyde Park",6/15/2015 12:19:00,222,"Knightsbridge, Hyde Park",,,
54652659,4620,8766,6/8/2016 2:02:00,492,"The Green Bridge, Mile End",6/8/2016 0:45:00,522,"Clinton Road, Mile End",,,
48193391,4440,6262,9/26/2015 19:10:00,7,"Charlbert Street, St. John's Wood",9/26/2015 17:56:00,405,"Gloucester Road Station, South Kensington",,,
47734760,2220,9937,9/11/2015 16:53:00,300,"Serpentine Car Park, Hyde Park",9/11/2015 16:16:00,407,"Speakers' Corner 1, Hyde Park",,,
44528614,4380,7723,6/14/2015 23:04:00,516,"Chrisp Street Market, Poplar",6/14/2015 21:51:00,554,"Aberfeldy Street, Poplar",,,
56088420,4200,310,7/18/2016 19:44:00,804,"Good's Way, King's Cross",7/18/2016 18:34:00,390,"Buxton Street 1, Shoreditch",,,
61542786,2100,9349,1/9/2017 9:10:00,67,"Hatton Garden, Holborn",1/9/2017 8:35:00,511,"Sutton Street, Shadwell",,,
59236459,4620,700,10/9/2016 9:59:00,101,"Queen Street 1, Bank",10/9/2016 8:42:00,723,"Stephendale Road, Sands End",,,
47745921,3000,9087,9/11/2015 20:40:00,719,"Victoria Park Road, Hackney Central",9/11/2015 19:50:00,557,"King Edward Street, St Pauls",,,
46931433,2220,8029,8/16/2015 16:48:00,407,"Speakers' Corner 1, Hyde Park",8/16/2015 16:11:00,407,"Speakers' Corner 1, Hyde Park",,,
47601018,3900,11729,9/7/2015 19:42:00,387,"Fire Brigade Pier, Vauxhall",9/7/2015 18:37:00,92,"Borough Road, Elephant & Castle",,,
46250075,2820,1824,7/30/2015 15:48:00,260,"Broadwick Street, Soho",7/30/2015 15:01:00,40,"Commercial Street, Shoreditch",,,
50283188,2580,6863,12/14/2015 9:51:00,170,"Hardwick Street, Clerkenwell",12/14/2015 9:08:00,656,"Broomhouse Lane, Parsons Green",,,
46305382,3000,12391,7/31/2015 22:23:00,732,"Duke Street Hill, London Bridge",7/31/2015 21:33:00,215,"Moorfields, Moorgate",,,
42513289,16020,6577,4/12/2015 0:54:00,233,"Pall Mall East, West End",4/11/2015 20:27:00,230,"Poured Lines, Bankside",,,
65498502,2100,12759,5/29/2017 14:18:00,192,"Wardour Street, Soho",5/29/2017 13:43:00,109,"Soho Square , Soho",,,
53756284,3660,11462,5/12/2016 16:01:00,406,"Speakers' Corner 2, Hyde Park",5/12/2016 15:00:00,406,"Speakers' Corner 2, Hyde Park",,,
50426393,4020,11454,12/20/2015 12:37:00,456,"Parkway, Camden Town",12/20/2015 11:30:00,24,"British Museum, Bloomsbury",,,
44991507,2160,11499,6/27/2015 16:00:00,403,"George Place Mews, Marylebone",6/27/2015 15:24:00,48,"Godliman Street, St. Paul's",,,
64873722,5400,4940,5/11/2017 10:48:00,758,"Westbourne Park Road, Portobello",5/11/2017 9:18:00,524,"Lancaster Gate , Bayswater",,,
51405272,5220,13255,2/9/2016 11:39:00,320,"Queen Mother Sports Centre, Victoria",2/9/2016 10:12:00,192,"Wardour Street, Soho",,,
51654140,2820,10173,2/21/2016 13:14:00,160,"Waterloo Place, St. James's",2/21/2016 12:27:00,111,"Park Lane , Hyde Park",,,
48195231,2580,12235,9/26/2015 19:21:00,428,"Exhibition Road, Knightsbridge",9/26/2015 18:38:00,522,"Clinton Road, Mile End",,,
65917866,3240,14615,6/10/2017 12:53:00,271,"London Zoo,  The Regent's Park",6/10/2017 11:59:00,234,"Liverpool Road (N1 Centre), Angel",,,
60305249,1980,10505,11/15/2016 9:20:00,325,"St. Martin's Street, West End",11/15/2016 8:47:00,726,"Alfreda Street, Battersea Park",,,
55036593,3120,12068,6/19/2016 15:18:00,480,"Flamborough Street, Limehouse",6/19/2016 14:26:00,452,"St. Katharine's Way, Tower",,,
49272038,3300,570,11/1/2015 14:21:00,553,"Regent's Row , Haggerston",11/1/2015 13:26:00,486,"Granby Street, Shoreditch",,,
57726600,2940,7544,8/27/2016 23:22:00,273,"Belvedere Road, South Bank",8/27/2016 22:33:00,185,"Alderney Street, Pimlico",,,
58489416,2040,14209,9/17/2016 23:58:00,251,"Brushfield Street, Liverpool Street",9/17/2016 23:24:00,427,"Cheapside, Bank",,,
41483965,32340,9544,2/28/2015 3:30:00,700,"Battersea Church Road, Battersea",2/27/2015 18:31:00,213,"Wellington Arch, Hyde Park",,,
56193274,4440,1514,7/20/2016 22:50:00,37,"Penywern Road, Earl's Court",7/20/2016 21:36:00,37,"Penywern Road, Earl's Court",,,
52567438,5700,8130,4/2/2016 1:41:00,228,"St. James's Square, St. James's",4/2/2016 0:06:00,387,"Fire Brigade Pier, Vauxhall",,,
53379690,60,11696,5/1/2016 19:40:00,18,"Drury Lane, Covent Garden",5/1/2016 19:39:00,751,"Newton Street, Covent Garden",,,
48442244,1980,5395,10/3/2015 22:47:00,741,"Freston Road, Avondale",10/3/2015 22:14:00,28,"Bolsover Street, Fitzrovia",,,
65827391,2100,6931,6/7/2017 18:01:00,224,"Whiteley's, Bayswater",6/7/2017 17:26:00,401,"Columbia Road, Shoreditch",,,
62323386,2700,1221,2/12/2017 17:49:00,213,"Wellington Arch, Hyde Park",2/12/2017 17:04:00,213,"Wellington Arch, Hyde Park",,,
44861388,5460,11090,6/24/2015 10:24:00,19,"Taviton Street, Bloomsbury",6/24/2015 8:53:00,387,"Fire Brigade Pier, Vauxhall",,,
42623042,9240,5517,4/15/2015 12:40:00,401,"Columbia Road, Weavers",4/15/2015 10:06:00,492,"The Green Bridge, Mile End",,,
55268703,2280,4965,6/26/2016 17:32:00,789,"Podium, Queen Elizabeth Olympic Park",6/26/2016 16:54:00,785,"Aquatic Centre, Queen Elizabeth Olympic Park",,,
47588477,6480,6555,9/7/2015 14:59:00,692,"Cadogan Close, Victoria Park",9/7/2015 13:11:00,692,"Cadogan Close, Victoria Park",,,
59748454,2520,13378,10/25/2016 17:52:00,621,"Wandsworth Town Station, Wandsworth",10/25/2016 17:10:00,251,"Brushfield Street, Liverpool Street",,,
46185187,15420,5811,7/28/2015 22:54:00,407,"Speakers' Corner 1, Hyde Park",7/28/2015 18:37:00,406,"Speakers' Corner 2, Hyde Park",,,
54040225,3000,9025,5/20/2016 16:11:00,407,"Speakers' Corner 1, Hyde Park",5/20/2016 15:21:00,307,"Black Lion Gate, Kensington Gardens",,,
