id,installed,latitude,locked,longitude,name,bikes_count,docks_count,nbEmptyDocks,temporary,terminal_name,install_date,removal_date
109,TRUE,51.51563144,false,-0.132328837,"Soho Square , Soho",55,57,0,FALSE,1052,7/14/2010,
7,TRUE,51.53430039,false,-0.1680743,"Charlbert Street, St. John's Wood",13,16,1,FALSE,3422,7/4/2010,
377,TRUE,51.50535447,false,-0.113656543,"Waterloo Bridge, South Bank",14,15,1,FALSE,2648,1/17/2011,
395,TRUE,51.492462,false,-0.159919,"Cadogan Gardens, Chelsea",14,15,1,FALSE,2695,2/28/2011,
46,TRUE,51.507131,false,-0.06691,"Nesham Street, Wapping",15,16,1,FALSE,1031,7/9/2010,
455,TRUE,51.49447,false,-0.014409,"East Ferry Road, Cubitt Town",16,17,1,FALSE,200031,1/9/2012,
10,TRUE,51.50597426,false,-0.092754157,"Park Street, Bankside",17,18,1,FALSE,1024,7/4/2010,
336,TRUE,51.504942,false,-0.115533,"Concert Hall Approach 2, South Bank",17,18,1,FALSE,1212,7/26/2010,
383,TRUE,51.51310333,false,-0.13121385,"Frith Street, Soho",17,18,1,FALSE,2660,2/2/2011,
527,TRUE,51.503802,false,-0.215808,"Hansard Mews, Holland Park",19,20,1,FALSE,200154,2/9/2012,
4,TRUE,51.53005939,false,-0.120973687,"St. Chad's Street, King's Cross",21,23,1,FALSE,1013,7/4/2010,
176,TRUE,51.51791921,false,-0.188098863,"Gloucester Terrace, Bayswater",22,23,1,FALSE,1173,7/16/2010,
86,TRUE,51.48947903,false,-0.115156562,"Sancroft Street, Vauxhall",23,24,1,FALSE,3434,7/13/2010,
130,TRUE,51.50950627,false,-0.075459482,"Tower Gardens , Tower",23,24,1,FALSE,1071,7/15/2010,
64,TRUE,51.50946212,false,-0.124749274,"William IV Street, Strand",25,26,1,FALSE,1028,7/10/2010,
655,TRUE,51.48294452,false,-0.219346128,"Crabtree Lane, Fulham",25,27,1,FALSE,200221,10/24/2013,
814,TRUE,51.47143307,false,-0.1236707357,"Clapham Road, Lingham Street, Stockwell",29,30,1,FALSE,300245,6/2/2016,
772,TRUE,51.47250956,false,-0.122831913,"Binfield Road, Stockwell",34,35,1,FALSE,300015,4/2/2014,
409,TRUE,51.493146,false,-0.099828,"Strata, Elephant & Castle",39,41,1,FALSE,10624,,
564,TRUE,51.509943,false,-0.117619,"Somerset House, Strand",39,41,1,FALSE,200068,,
171,TRUE,51.4916156,false,-0.186753859,"Collingham Gardens, Earl's Court",12,14,2,FALSE,3459,7/16/2010,
200,TRUE,51.51492456,false,-0.066078037,"LMU Commercial Road, Whitechapel",12,14,2,FALSE,1105,7/18/2010,
386,TRUE,51.51352755,false,-0.130110822,"Moor Street, Soho",14,16,2,FALSE,3504,2/3/2011,
451,TRUE,51.504719,false,-0.063531,"Hermitage Court, Wapping",14,16,2,FALSE,200021,1/2/2012,
554,TRUE,51.513548,false,-0.005659,"Aberfeldy Street, Poplar",14,16,2,FALSE,200078,,
160,TRUE,51.50663341,false,-0.131773845,"Waterloo Place, St. James's",18,20,2,FALSE,3458,7/16/2010,
487,TRUE,51.511811,false,-0.025626,"Canton Street, Poplar",18,23,2,FALSE,22175,1/30/2012,
233,TRUE,51.50777049,false,-0.130699733,"Pall Mall East, West End",19,22,2,FALSE,1153,7/20/2010,
341,TRUE,51.50810309,false,-0.12602103,"Craven Street, Strand",19,23,2,FALSE,1160,7/27/2010,
379,TRUE,51.51431171,false,-0.200838199,"Turquoise Island, Notting Hill",19,21,2,FALSE,2682,1/27/2011,
777,TRUE,51.46192307,false,-0.1652978567,"Limburg Road, Clapham Junction",19,21,2,FALSE,300100,7/25/2014,
338,TRUE,51.51175646,false,-0.119643424,"Wellington Street , Strand",21,24,2,FALSE,1202,7/26/2010,
553,TRUE,51.535678,false,-0.062546,"Regent's Row , Haggerston",21,24,2,FALSE,200064,,
563,TRUE,51.499286,false,-0.009152,"Preston's Road, Cubitt Town",22,26,2,FALSE,200232,,
691,TRUE,51.47946386,false,-0.195777222,"Erin Close, Walham Green",22,24,2,FALSE,200184,11/18/2013,
697,TRUE,51.53639219,false,-0.112721065,"Charlotte Terrace, Angel",22,25,2,FALSE,200129,11/12/2013,
747,TRUE,51.48796408,false,-0.161765173,"Ormonde Gate, Chelsea",22,24,2,FALSE,300089,12/2/2013,
827,TRUE,51.479601,false,-0.11147178,"Cranmer Road, Stockwell",22,24,2,FALSE,300247,2/5/2018,
808,TRUE,51.464995,false,-0.13090885,"Gauden Road, Clapham",25,28,2,FALSE,300207,4/27/2016,
571,TRUE,51.506256,false,-0.218337,"Westfield Southern Terrace ,Shepherd's Bush",27,29,2,FALSE,200061,3/1/2012,
708,TRUE,51.46161068,false,-0.21614583,"Disraeli Road, Putney",31,33,2,FALSE,200217,11/15/2013,
669,TRUE,51.47614939,false,-0.1232585,"Teversham Lane, Stockwell",37,39,2,FALSE,300036,10/30/2013,
282,TRUE,51.518675,false,-0.06111,"Royal London Hospital, Whitechapel",39,42,2,FALSE,1077,7/21/2010,
833,TRUE,51.460232,false,-0.11537509,"Saltoun Road, Brixton",40,42,2,FALSE,300206,2/6/2018,
14,TRUE,51.52994371,false,-0.123616824,"Belgrove Street , King's Cross",42,48,2,FALSE,1011,7/5/2010,
334,TRUE,51.505044,false,-0.115851,"Concert Hall Approach 1, South Bank",7,10,3,FALSE,2635,7/26/2010,
192,TRUE,51.51251523,false,-0.133201961,"Wardour Street, Soho",11,16,3,FALSE,1163,7/17/2010,
149,TRUE,51.48478899,false,-0.110683213,"Kennington Road Post Office, Oval",14,18,3,FALSE,1073,7/15/2010,
508,TRUE,51.519362,false,-0.074431,"Fournier Street, Whitechapel",14,18,3,FALSE,200157,1/30/2012,
33,TRUE,51.515231,false,-0.07015,"Central House, Aldgate",15,18,3,FALSE,3430,7/7/2010,
521,TRUE,51.534137,false,-0.037366,"Driffield Road, Old Ford",15,19,3,FALSE,200030,,
568,TRUE,51.51616,false,-0.18697,"Bishop's Bridge Road West, Bayswater",15,18,3,FALSE,200110,,
693,TRUE,51.464786,false,-0.215618902,"Felsham Road, Putney",15,18,3,FALSE,300019,11/9/2013,
298,TRUE,51.50227992,false,-0.074189225,"Curlew Street, Shad Thames",16,21,3,FALSE,1213,7/22/2010,
411,TRUE,51.499169,false,-0.055846029,"Rotherhithe Roundabout, Rotherhithe",16,19,3,FALSE,10629,,
756,TRUE,51.47515398,false,-0.159169801,"Prince of Wales Drive, Battersea Park",17,21,3,FALSE,300073,1/20/2014,
502,TRUE,51.53341,false,-0.049591815,"Bonner Gate, Victoria Park",18,21,3,FALSE,200241,7/24/2019,
623,TRUE,51.46193072,false,-0.180791784,"Nantes Close, Wandsworth",19,22,3,FALSE,200186,10/7/2013,
665,TRUE,51.46108367,false,-0.191722864,"Smugglers Way, Wandsworth",19,22,3,FALSE,200113,10/28/2013,
637,TRUE,51.45787019,false,-0.174691623,"Spencer Park, Wandsworth Common",20,25,3,FALSE,200191,10/16/2013,
302,TRUE,51.466907,false,-0.216573,"Putney Pier, Wandsworth",22,28,3,FALSE,3492,7/22/2010,
829,TRUE,51.469217,false,-0.11268674,"Wynne Road, Stockwell",22,25,3,FALSE,300230,2/1/2018,
278,TRUE,51.5034938,false,-0.07962099,"Tooley Street, Bermondsey",24,27,3,FALSE,1142,7/21/2010,
437,TRUE,51.488124,false,-0.120903,"Vauxhall Walk, Vauxhall",24,27,3,FALSE,200056,1/5/2012,
237,TRUE,51.50978602,false,-0.06816198052,"Dock Street, Wapping",26,30,3,FALSE,3467,7/22/2010,
374,TRUE,51.50402794,false,-0.11386436,"Waterloo Station 1, Waterloo",27,36,3,FALSE,2696,12/7/2010,
764,TRUE,51.46239255,false,-0.16829214,"St. John's Road, Clapham Junction",30,33,3,FALSE,200185,2/17/2014,
682,TRUE,51.48810829,false,-0.22660621,"Crisp Road, Hammersmith",42,46,3,FALSE,200059,11/6/2013,
339,TRUE,51.5333196,false,-0.1117812,"Risinghill Street, Angel",9,25,4,FALSE,1127,7/26/2010,
805,TRUE,51.520509,false,-0.20080483,"The Metropolitan, Portobello",11,18,4,FALSE,300244,7/4/2016,
212,TRUE,51.50658458,false,-0.199004026,"Campden Hill Road, Notting Hill",13,17,4,FALSE,3487,7/19/2010,
730,TRUE,51.49208492,false,-0.229116862,"Bridge Avenue, Hammersmith",13,18,4,FALSE,300082,11/22/2013,
454,TRUE,51.487679,false,-0.021582,"Napier Avenue, Millwall",15,20,4,FALSE,200046,1/9/2012,
478,TRUE,51.521889,false,-0.04667,"Stepney Green Station, Stepney",17,21,4,FALSE,200012,1/19/2012,
614,TRUE,51.54119,false,-0.058826101,"London Fields, Hackney Central",17,21,4,FALSE,200025,10/3/2013,
771,TRUE,51.509224,false,-0.216016,"Rifle Place, Avondale",17,21,4,FALSE,300007,3/5/2014,
